# What the Virtual Calculator answered to the documentation's examples.
# Written by `hpprime examples`; not edited by hand. One row per call.
# entry	call	answer	type	firmware	date
BrkEvPrice	EXPR("BrkEvPrice(1000,100,5,500)")	20	0	Virtual Calculator 2.4, build 2025-09-15	2026-09-13
BrkEvProfit	EXPR("BrkEvProfit(1000,100,5,20)")	500	0	Virtual Calculator 2.4, build 2025-09-15	2026-09-13
BrkEvQuant	EXPR("BrkEvQuant(1000,5,20,500)")	100	0	Virtual Calculator 2.4, build 2025-09-15	2026-09-13
BrkEvQuant	EXPR("BrkEvQuant(1000,5,20,BrkEvProfit(1000,100,5,20))")	100	0	Virtual Calculator 2.4, build 2025-09-15	2026-09-13
BSCall	EXPR(" BSCall")	0.00	0	Virtual Calculator 2.4, build 2025-09-15	2026-09-15
BSCall	EXPR("BSCall")	0	0	Virtual Calculator 2.4, build 2025-09-15	2026-09-15
BSPut	EXPR(" BSPut")	*error*		Virtual Calculator 2.4, build 2025-09-15	2026-09-15
BSPut	EXPR("BSPut")	*error*		Virtual Calculator 2.4, build 2025-09-15	2026-09-15
B→R	B→R(SETBITS(12))	12	0	Virtual Calculator 2.4, build 2025-09-15	2026-09-12
CallPrice	EXPR("CallPrice")	100	0	Virtual Calculator 2.4, build 2025-09-15	2026-09-15
CAS	CAS("1/2+1/3")	5/6	8	Virtual Calculator 2.4, build 2025-09-15	2026-09-12
CAS	CAS(1/2+1/3)	5/6	8	Virtual Calculator 2.4, build 2025-09-15	2026-09-12
CASE	LOCAL z; z := 0; CASE IF 1 == 2 THEN z := 1; END; DEFAULT z := 3; END; RETURN z;	3	0	Virtual Calculator 2.4, build 2025-09-15	2026-09-12
CASE	LOCAL z; z := 0; CASE IF 1 == 2 THEN z := 1; END; IF 1 == 1 THEN z := 2; END; DEFAULT z := 3; END; RETURN z;	2	0	Virtual Calculator 2.4, build 2025-09-15	2026-09-12
CashFlowFMRR	EXPR("CashFlowFMRR({-1000,300,400,500},10,5)")	9.22317710801	0	Virtual Calculator 2.4, build 2025-09-15	2026-09-13
CashFlowIRR	EXPR("CashFlowIRR({-1000,300,400,500})")	8.89633946933	0	Virtual Calculator 2.4, build 2025-09-15	2026-09-13
CashFlowMIRR	EXPR("CashFlowMIRR({-1000,300,400,500},10,5)")	9.22317710801	0	Virtual Calculator 2.4, build 2025-09-15	2026-09-13
CashFlowNFV	EXPR("CashFlowNFV({-1000,300,400,500},10)")	−28	0	Virtual Calculator 2.4, build 2025-09-15	2026-09-13
CashFlowNPV	EXPR("CashFlowNPV({-1000,300,400,500},10)")	−21.0368144252	0	Virtual Calculator 2.4, build 2025-09-15	2026-09-13
CashFlowNUS	EXPR("CashFlowNUS({-1000,300,400,500},10)")	−8.45921450151	0	Virtual Calculator 2.4, build 2025-09-15	2026-09-13
CashFlowPB	EXPR("CashFlowPB({-1000,300,400,500})")	2.6	0	Virtual Calculator 2.4, build 2025-09-15	2026-09-13
CashFlowTotal	EXPR("CashFlowTotal({-1000,300,400,500})")	200	0	Virtual Calculator 2.4, build 2025-09-15	2026-09-13
CEILING	CEILING(-3.2)	−3	0	Virtual Calculator 2.4, build 2025-09-15	2026-09-13
CEILING	CEILING(3.2)	4	0	Virtual Calculator 2.4, build 2025-09-15	2026-09-13
CEILING	CEILING({3.2,-3.2})	{4,−3}	6	Virtual Calculator 2.4, build 2025-09-15	2026-09-13
CellHasData	EXPR("CellHasData( )")	0	0	Virtual Calculator 2.4, build 2025-09-15	2026-09-14
CellHasData	EXPR("CellHasData()")	*error*		Virtual Calculator 2.4, build 2025-09-15	2026-09-13
center	EXPR("center(circle(point(0,0),point(2,0)))")	point(1,0)	8	Virtual Calculator 2.4, build 2025-09-15	2026-09-13
CFData	EXPR("CFData")	{}	6	Virtual Calculator 2.4, build 2025-09-15	2026-09-15
CFPYR	EXPR(" CFPYR")	12.00	0	Virtual Calculator 2.4, build 2025-09-15	2026-09-15
CFPYR	EXPR("CFPYR")	12	0	Virtual Calculator 2.4, build 2025-09-15	2026-09-15
Change	EXPR("Change")	0	0	Virtual Calculator 2.4, build 2025-09-15	2026-09-15
ChangeCost	EXPR("ChangeCost(100,10,0)")	90.9090909091	0	Virtual Calculator 2.4, build 2025-09-15	2026-09-13
ChangeNew	EXPR("ChangeNew(100,10,0)")	10	0	Virtual Calculator 2.4, build 2025-09-15	2026-09-13
ChangeOld	EXPR("ChangeOld(110,10,0)")	1100	0	Virtual Calculator 2.4, build 2025-09-15	2026-09-13
ChangePrice	EXPR("ChangePrice(60,10,0)")	66	0	Virtual Calculator 2.4, build 2025-09-15	2026-09-13
CHAR	CHAR(65)	"A"	2	Virtual Calculator 2.4, build 2025-09-15	2026-09-12
CHAR	CHAR({72,80})	"HP"	2	Virtual Calculator 2.4, build 2025-09-15	2026-09-12
CHECK	EXPR("CHECK(1)")	1	0	Virtual Calculator 2.4, build 2025-09-15	2026-09-14
Chi2GOF	EXPR("Chi2GOF(1,2,3)")	*error*		Virtual Calculator 2.4, build 2025-09-15	2026-09-13
Chi2TwoWay	EXPR("Chi2TwoWay([[10,20],[30,40]])")	{0.793650793651,0.372998483613,1}	6	Virtual Calculator 2.4, build 2025-09-15	2026-09-13
CHISQUARE	CHISQUARE(3,2)	0.20755374871	0	Virtual Calculator 2.4, build 2025-09-15	2026-09-13
CHISQUARE_CDF	CHISQUARE_CDF(3,2)	0.427593295529	0	Virtual Calculator 2.4, build 2025-09-15	2026-09-13
CHISQUARE_ICDF	CHISQUARE_ICDF(3,0.5)	2.36597388438	0	Virtual Calculator 2.4, build 2025-09-15	2026-09-13
cholesky	cholesky([[4,2],[2,3]])	[[2,0],[1,1.41421356237]]	4	Virtual Calculator 2.4, build 2025-09-15	2026-09-13
Ci	Ci(1)	Ci(1)	8	Virtual Calculator 2.4, build 2025-09-15	2026-09-13
circle	EXPR("circle(point(0,0),point(2,0))")	circle(point(1,0),1)	8	Virtual Calculator 2.4, build 2025-09-15	2026-09-14
circumcircle	EXPR("circumcircle(point(0,0),point(3,0),point(0,4))")	circle(point(3/2,2),5/2)	8	Virtual Calculator 2.4, build 2025-09-15	2026-09-14
ClearCell	EXPR("ClearCell( )")	0	0	Virtual Calculator 2.4, build 2025-09-15	2026-09-14
ClearCell	EXPR("ClearCell()")	*error*		Virtual Calculator 2.4, build 2025-09-15	2026-09-13
coefDet	EXPR("coefDet")	0	0	Virtual Calculator 2.4, build 2025-09-15	2026-09-14
Col	EXPR("Col")	*error*		Virtual Calculator 2.4, build 2025-09-15	2026-09-14
COLNORM	COLNORM([[1,2],[3,4]])	6	0	Virtual Calculator 2.4, build 2025-09-15	2026-09-13
COLOR	EXPR("COLOR")	COLOR	8	Virtual Calculator 2.4, build 2025-09-15	2026-09-13
ColWidth	EXPR("(ColWidth)")	*error*		Virtual Calculator 2.4, build 2025-09-15	2026-09-14
ColWidth	EXPR("ColWidth:=40")	*error*		Virtual Calculator 2.4, build 2025-09-15	2026-09-14
COMB	COMB(5,2)	10	0	Virtual Calculator 2.4, build 2025-09-15	2026-09-13
CONCAT	CONCAT(1,2,3,4)	{1,2,3,4}	6	Virtual Calculator 2.4, build 2025-09-15	2026-09-13
CONCAT	CONCAT({1,2,3},4)	{1,2,3,4}	6	Virtual Calculator 2.4, build 2025-09-15	2026-09-13
CONCAT	CONCAT({1,2},3,{{4,5},6,{7,8}})	{1,2,3,{4,5},6,{7,8}}	6	Virtual Calculator 2.4, build 2025-09-15	2026-09-13
COND	COND([[1,2],[3,4]])	21	0	Virtual Calculator 2.4, build 2025-09-15	2026-09-13
Conf	EXPR("Conf")	0.99	0	Virtual Calculator 2.4, build 2025-09-15	2026-09-14
ConfT1mean	EXPR("ConfT1mean({1,2,3,4,5})")	*error*		Virtual Calculator 2.4, build 2025-09-15	2026-09-13
ConfT1mean	EXPR("ConfT1mean({2,4,6,8,10})")	*error*		Virtual Calculator 2.4, build 2025-09-15	2026-09-14
ConfT2mean	EXPR("ConfT2mean({1,2,3,4,5})")	*error*		Virtual Calculator 2.4, build 2025-09-15	2026-09-13
ConfT2mean	EXPR("ConfT2mean({2,4,6,8,10})")	*error*		Virtual Calculator 2.4, build 2025-09-15	2026-09-14
ConfZ1mean	EXPR("ConfZ1mean({1,2,3,4,5})")	*error*		Virtual Calculator 2.4, build 2025-09-15	2026-09-13
ConfZ1mean	EXPR("ConfZ1mean({2,4,6,8,10})")	*error*		Virtual Calculator 2.4, build 2025-09-15	2026-09-14
ConfZ1prop	EXPR("ConfZ1prop({1,2,3,4,5})")	*error*		Virtual Calculator 2.4, build 2025-09-15	2026-09-13
ConfZ1prop	EXPR("ConfZ1prop({2,4,6,8,10})")	*error*		Virtual Calculator 2.4, build 2025-09-15	2026-09-14
ConfZ2mean	EXPR("ConfZ2mean({1,2,3,4,5})")	*error*		Virtual Calculator 2.4, build 2025-09-15	2026-09-13
ConfZ2mean	EXPR("ConfZ2mean({2,4,6,8,10})")	*error*		Virtual Calculator 2.4, build 2025-09-15	2026-09-14
ConfZ2prop	EXPR("ConfZ2prop(10,12,50,50)")	*error*		Virtual Calculator 2.4, build 2025-09-15	2026-09-13
ConfZ2prop	EXPR("ConfZ2prop(10,12,50,60)")	*error*		Virtual Calculator 2.4, build 2025-09-15	2026-09-14
conic	EXPR("conic(X^2+Y^2-1)")	{}	6	Virtual Calculator 2.4, build 2025-09-15	2026-09-14
CONJ	CONJ(3+4*i)	3-4*	3	Virtual Calculator 2.4, build 2025-09-15	2026-09-13
CONTINUE	LOCAL zi, zs; zs := 0; FOR zi FROM 1 TO 5 DO IF zi == 3 THEN CONTINUE; END; zs := zs + zi; END; RETURN zs;	12	0	Virtual Calculator 2.4, build 2025-09-15	2026-09-12
ContribList	EXPR(" ContribList")	{}	6	Virtual Calculator 2.4, build 2025-09-15	2026-09-15
ContribList	EXPR("ContribList")	{}	6	Virtual Calculator 2.4, build 2025-09-15	2026-09-14
ContribMat	EXPR("ContribMat")	[[0]]	4	Virtual Calculator 2.4, build 2025-09-15	2026-09-14
CONVERT	CONVERT(2_m, 1_ft)	6.56167979003_ft	9	Virtual Calculator 2.4, build 2025-09-15	2026-09-13
coordinates	EXPR("coordinates(point(3,4))")	[3,4]	4	Virtual Calculator 2.4, build 2025-09-15	2026-09-13
CopyVar	EXPR("CopyVar(L1,L2)")	{}	6	Virtual Calculator 2.4, build 2025-09-15	2026-09-13
corr	EXPR("corr")	0	0	Virtual Calculator 2.4, build 2025-09-15	2026-09-14
COS	COS(1)	0.540302305868	0	Virtual Calculator 2.4, build 2025-09-15	2026-09-13
COSH	COSH(1)	1.54308063482	0	Virtual Calculator 2.4, build 2025-09-15	2026-09-13
Cost	EXPR("Cost")	0	0	Virtual Calculator 2.4, build 2025-09-15	2026-09-15
CostAsset	EXPR("CostAsset")	0	0	Virtual Calculator 2.4, build 2025-09-15	2026-09-15
COT	COT(1)	0.642092615934	0	Virtual Calculator 2.4, build 2025-09-15	2026-09-13
CpnPer	EXPR("CpnPer")	0	0	Virtual Calculator 2.4, build 2025-09-15	2026-09-15
CPYR	EXPR(" CPYR")	12.00	0	Virtual Calculator 2.4, build 2025-09-15	2026-09-15
CPYR	EXPR("CPYR")	*error*		Virtual Calculator 2.4, build 2025-09-15	2026-09-15
CritScore	EXPR("CritScore")	0	0	Virtual Calculator 2.4, build 2025-09-15	2026-09-14
CritVal1	EXPR(" CritVal1")	0.432843347747	0	Virtual Calculator 2.4, build 2025-09-15	2026-09-14
CritVal1	EXPR("CritVal1")	0	0	Virtual Calculator 2.4, build 2025-09-15	2026-09-14
CritVal2	EXPR("CritVal2")	0	0	Virtual Calculator 2.4, build 2025-09-15	2026-09-14
CROSS	CROSS([1,2,3],[4,5,6])	[−3,6,−3]	4	Virtual Calculator 2.4, build 2025-09-15	2026-09-13
CSC	CSC(1)	1.18839510578	0	Virtual Calculator 2.4, build 2025-09-15	2026-09-13
C→PX	C→PX(0,0)	{160,109}	6	Virtual Calculator 2.4, build 2025-09-15	2026-09-12
C→PX	C→PX(1)	{0,0}	6	Virtual Calculator 2.4, build 2025-09-15	2026-09-12
C→PX	C→PX(1,1)	{170,99}	6	Virtual Calculator 2.4, build 2025-09-15	2026-09-12
C→PX	C→PX(10)	{0,0}	6	Virtual Calculator 2.4, build 2025-09-15	2026-09-12
DataType	EXPR("DataType")	0	0	Virtual Calculator 2.4, build 2025-09-15	2026-09-14
Date360	EXPR("Date360")	0	0	Virtual Calculator 2.4, build 2025-09-15	2026-09-15
DATEADD	DATEADD(2026.0101,30)	2026.0131	0	Virtual Calculator 2.4, build 2025-09-15	2026-09-12
DateDays	EXPR("DateDays(1.012024,12.312024)")	*error*		Virtual Calculator 2.4, build 2025-09-15	2026-09-13
DateDiff	EXPR("DateDiff")	0	0	Virtual Calculator 2.4, build 2025-09-15	2026-09-15
DateOne	EXPR("DateOne")	2017.0101	0	Virtual Calculator 2.4, build 2025-09-15	2026-09-15
DateTwo	EXPR("DateTwo")	2017.0101	0	Virtual Calculator 2.4, build 2025-09-15	2026-09-15
DAYOFWEEK	DAYOFWEEK(2026.0912)	6	0	Virtual Calculator 2.4, build 2025-09-15	2026-09-12
DDAYS	DDAYS(2026.0101,2026.0201)	31	0	Virtual Calculator 2.4, build 2025-09-15	2026-09-12
DELCOL	DELCOL([[1,2,3],[4,5,6]],2)	[[1,3],[4,6]]	4	Virtual Calculator 2.4, build 2025-09-15	2026-09-12
DelInstruction	EXPR("DelInstruction")	*error*		Virtual Calculator 2.4, build 2025-09-15	2026-09-14
DELROW	DELROW([[1,2],[3,4]],1)	[[3,4]]	4	Virtual Calculator 2.4, build 2025-09-15	2026-09-12
Depreciate	EXPR("Depreciate(\"SL\",1000,100,5)")	*error*		Virtual Calculator 2.4, build 2025-09-15	2026-09-13
DET	DET([[1,2],[3,4]])	−2	0	Virtual Calculator 2.4, build 2025-09-15	2026-09-13
DET	DET({[[1,2],[5,6]],[[3,4],[-6,-2]]})	{−4,18}	6	Virtual Calculator 2.4, build 2025-09-15	2026-09-13
DF	EXPR("DF")	0	0	Virtual Calculator 2.4, build 2025-09-15	2026-09-14
DFerr	EXPR("DFerr")	0	0	Virtual Calculator 2.4, build 2025-09-15	2026-09-14
diag	diag([[1,2],[3,4]])	[1,4]	4	Virtual Calculator 2.4, build 2025-09-15	2026-09-13
diag	diag({1,2})	[[1,0],[0,2]]	4	Virtual Calculator 2.4, build 2025-09-15	2026-09-13
DIFFERENCE	DIFFERENCE({1,2,3},{2,3,4})	{1,4}	6	Virtual Calculator 2.4, build 2025-09-15	2026-09-13
DIM	DIM("12345")	5	0	Virtual Calculator 2.4, build 2025-09-15	2026-09-12
DIM	DIM("abcdef")	6	0	Virtual Calculator 2.4, build 2025-09-15	2026-09-12
DIM	DIM([[1,2,3],[4,5,6]])	{2,3}	6	Virtual Calculator 2.4, build 2025-09-15	2026-09-12
DIM	DIM([[1,2],[4,5],[7,8]])	{3,2}	6	Virtual Calculator 2.4, build 2025-09-15	2026-09-12
DIMGROB	DIMGROB(G2,10,5,0)	1	0	Virtual Calculator 2.4, build 2025-09-15	2026-09-12
DIMGROB	DIMGROB(G4,10,5,0); RETURN GROBW_P(G4);	100	0	Virtual Calculator 2.4, build 2025-09-15	2026-09-12
DIMGROB_P	DIMGROB_P(G1,100,50,0)	1	0	Virtual Calculator 2.4, build 2025-09-15	2026-09-12
Dirac	EXPR("STRING(Dirac(0))")	"+Inf"	2	Virtual Calculator 2.4, build 2025-09-15	2026-09-13
Dirac	EXPR("TYPE(Dirac(0))")	0	0	Virtual Calculator 2.4, build 2025-09-15	2026-09-13
DiscPayback	EXPR(" DiscPayback")	*error*		Virtual Calculator 2.4, build 2025-09-15	2026-09-15
DiscPayback	EXPR("DiscPayback")	*error*		Virtual Calculator 2.4, build 2025-09-15	2026-09-15
distance	EXPR("distance(point(0,0),point(3,4))")	5	0	Virtual Calculator 2.4, build 2025-09-15	2026-09-13
Dividend	EXPR("Dividend")	0	0	Virtual Calculator 2.4, build 2025-09-15	2026-09-15
Do1VStats	EXPR("Do1VStats(H1)")	*error*		Virtual Calculator 2.4, build 2025-09-15	2026-09-14
